Strategy,Price,AggregatedVolume
User1,57.35661923565202,464690
User1,66.01500119929868,66453
User1,81.47581826964446,337788
User1,83.92872952667354,16991
User1,84.94511678758761,491164
User1,86.4504956967952,241403
User1,87.00096234010016,616619
User1,87.73773217453098,916165
User1,88.76582748798313,637943
User1,89.68164602404775,664335
User1,90.19246942985521,20975
User1,90.71048674814541,201917
User1,91.12634158119246,862325
User1,91.47787856832828,469316
User1,91.49364372936301,374176
User1,93.95963962500369,104865
User1,99.08263433132274,83804
User1,101.00295396079605,890172
User1,101.03878832250044,170287
User1,104.40006158156768,37173
User1,105.39599474771492,166145
User1,110.20978444048446,926767
User1,111.1344913792032,495443
User1,112.99705462074236,181579
User1,115.60066044557088,951917
User1,117.25628748802117,148689
User1,117.68348483917804,613735
User1,118.48672410481889,572810
User1,119.76888334944431,430278
User1,119.93752810676284,61972
User1,123.12653657027849,60410
User1,123.4179210752685,692284
User1,124.44607571972941,79726
User1,125.41519195548386,262346
User1,125.78676498847933,162459
User1,126.87551052878837,344409
User1,127.12051345045884,374333
User1,127.89221285936713,624440
User1,128.1331237181779,727236
User1,128.16500142181945,192637
User1,128.21662291056032,921626
User1,129.04380466957363,708425
User1,129.3768679841112,692770
User1,129.4831610443431,77820
User1,129.5116005283458,126655
User1,129.61319438360843,339116
User1,131.23775209666974,76796
User1,132.32495449184117,338331
User1,132.9014744385236,781852
User1,133.0665535100564,748670
User1,133.34410534846262,342073
User1,133.80975320127916,248478
User1,134.11833957558804,34586
User1,135.0906158336653,173227
User1,135.11596291790022,680648
User1,136.2924498367578,545086
User1,136.37465881915602,247557
User1,137.12967743770704,691406
User1,137.4613349563696,848561
User1,137.74512464792443,922320
User1,139.62522531412006,168524
User1,139.71800888694054,807207
User1,139.75675730417365,280253
User1,140.20810514925722,557628
User1,140.36470783493837,320981
User1,140.79994376828594,486094
User1,140.99695801672365,47061
User1,141.0464327069391,168857
User1,141.283027731283,809601
User1,141.3933634695458,766273
User1,141.53183888703683,612008
User1,143.0752176831903,769593
User1,143.53528128183754,335698
User1,143.87465847991615,132080
User1,143.96922327104022,393506
User1,144.41313850631835,748706
User1,144.6760330067441,457322
User1,144.7517822320576,95596
User1,144.76213072710397,251077
User1,144.99557231738032,272646
User1,145.05437261345907,447756
User1,145.3592245419993,614620
User1,145.46027354665702,718295
User1,145.77082893921488,327478
User1,145.94102188177754,734315
User1,146.49902566827365,103909
User1,146.59721874071164,17929
User1,146.72565974601983,235637
User1,146.73385828113683,97632
User1,146.94460971131804,586376
User1,147.11224346661754,997531
User1,147.46164062025707,75100
User1,147.48693462659799,857235
User1,147.57308665108496,721032
User1,147.69958886118758,576008
User1,148.08851607355388,478236
User1,148.67890960361072,690767
User1,148.67962269238234,505548
User1,148.70921839617066,994222
User1,149.22650411691197,81770
User1,150.06477439475796,116634
User1,150.46033404459143,251495
User1,150.4976266212383,233416
