User,Price,AggregatedVolume
User1,262.3173074174466,74733
User1,912.7037091244763,150130
User1,1111.3300773907276,32775
User1,1138.8758960735574,351752
User1,1141.8094339019701,811194
User1,1354.4693405378712,108491
User1,1355.3901450818435,853567
User1,1367.5519119947405,580853
User1,1369.1005156127267,914294
User1,1370.94175314336,406394
User1,1371.3078623234696,417512
User1,1378.8793427448493,47978
User1,1380.2677342302782,431808
User1,1380.4709055214748,523906
User1,1383.774886585687,956145
User1,1383.8795621132901,609554
User1,1385.064961603319,810767
User1,1386.370395903576,557
User1,1386.8244185814299,833733
User1,1387.644140098621,786647
User1,1388.0548264138076,129927
User1,1389.9357970344581,785485
User1,1390.0397727111515,696199
User1,1390.774198756168,130818
User1,1392.0051901883232,578213
User1,1392.3014868840557,468560
User1,1392.50975421777,715763
User1,1392.8372346126419,212191
User1,1395.5279282611002,60064
User1,1395.6119603643258,768879
User1,1396.8232110559165,231012
User1,1398.2183039349975,746376
User1,1398.360069039926,704938
User1,1400.4291026076387,593392
User1,1400.874187823861,297823
User1,1405.1788062336939,396372
User1,1405.388142415559,5399
User1,1405.5277312755622,958484
User1,1406.2124017675123,25193
User1,1407.0980134435624,121909
User1,1407.3947339199042,321337
User1,1408.508322383691,254577
User1,1431.41338371066,927181
User1,1431.584661091648,510129
User1,1435.2712305008733,965964
User1,1435.5049899329679,986398
User1,1445.603949369891,300265
User1,1456.2108733891687,850963
User1,1458.447095246327,641525
User1,1461.2101537820072,615574
User1,1462.6517095387057,129671
User1,1463.346449238824,319947
User1,1466.9254406938198,595700
User1,1474.7507111833852,543439
User1,1477.3660919075458,122360
User1,1482.2748769950026,42999
User1,1499.2322717523055,989608
User1,1501.0114150681538,54007
User1,1502.2580083694234,267537
User1,1504.6243058826833,193660
User1,1505.6573539436624,661488
User1,1506.4372557008223,704548
User1,1506.5261184307292,336170
User1,1507.095177919481,110763
User1,1512.598735307297,909761
User1,1514.6039588276049,589995
User1,1514.699478560352,249418
User1,1516.7340713710319,374383
User1,1517.795054522432,534000
User1,1519.252797543292,875699
User1,1519.2977384657422,519019
User1,1519.6939539168686,399254
User1,1520.1299914663157,542564
User1,1520.6396997105696,95759
User1,1521.2441913258494,37124
User1,1522.4638893859976,93296
User1,1522.5784941065217,370503
User1,1523.8531665896483,721275
User1,1524.200024822813,720468
User1,1524.4824102259054,309130
User1,1525.7266865439758,637057
User1,1526.2976561309404,916319
User1,1527.3767199009487,83814
User1,1527.6008353955558,906303
User1,1527.6922089424845,797871
User1,1529.1827526767156,704608
User1,1529.222192428838,867974
User1,1530.312820979426,25973
User1,1531.686621394813,815755
User1,1532.756479568089,180388
User1,1532.8095078841877,887580
User1,1533.545913775435,501667
User1,1534.5470800323938,476467
User1,1534.7542425742547,510632
User1,1535.4138848100795,985602
User1,1535.7139282862336,545210
User1,1535.904818382148,655569
User1,1536.5258756560177,476625
User1,1536.814972913445,205988
User1,1538.7450057332705,244468
User1,1539.0053685331598,265049
User1,1539.1796102354572,307721
User1,1539.8227539347606,819262
User1,1540.2011892446326,666447
User1,1540.4415748734114,775967
User1,1540.6013183149505,422644
User1,1540.7609622798198,775858
User1,1540.772978083377,139924
User1,1540.7930849953448,791817
User1,1541.4550419764112,697164
User1,1541.520073572683,63837
User1,1541.757581269273,131638
User1,1542.104884842908,514016
User1,1542.196108039164,635112
User1,1542.261184201601,532980
User1,1542.5904460754193,364519
User1,1542.700248753135,630959
User1,1542.7059253854422,597827
User1,1542.9552011956266,947917
User1,1542.979749782768,435616
User1,1543.2083198223309,28921
User1,1543.3128444118263,495601
User1,1543.6972789401534,685455
User1,1543.7037007930312,8526
User1,1543.9378745006866,365876
User1,1544.0740030204136,756859
User1,1544.4023789472963,690142
User1,1544.6110086251667,310366
User1,1544.6561158514112,528878
User1,1545.6372013255218,572809
User1,1546.223004796516,695993
User1,1547.4453199052066,933580
User1,1548.185419398252,532118
User1,1548.5498877971315,679272
User1,1548.657107531963,554071
User1,1548.671609019605,109809
User1,1548.8018847205003,725320
User1,1550.0049688462402,84021
User1,1550.2843462810695,860652
User1,1550.9255733269433,186415
User1,1551.4600335047776,701141
User1,1551.7846523762578,697972
User1,1552.6145238515523,524323
User1,1553.1867548210996,357083
User1,1553.803475226854,766263
User1,1554.0584308980513,871615
User1,1555.7177412628657,123560
User1,1556.9296517891976,878364
User1,1558.320243588745,100899
User1,1558.4558920262734,287363
User1,1559.0108393752041,904437
User1,1559.2027270186773,954793
User1,1559.2116589727818,103813
User1,1559.4189359326706,459229
User1,1560.1696631180712,834993
User1,1560.8494050173827,497199
User1,1561.4523007936073,320270
User1,1562.0960091026536,651335
User1,1562.1851344759393,771593
User1,1562.3416587717586,482950
User1,1563.2129645389157,434027
User1,1563.3310090907892,953546
User1,1563.4409883522287,51477
User1,1563.444203017968,266260
User1,1564.016548862695,234847
User1,1564.0626859241927,630911
User1,1564.3315749402154,966536
User1,1564.7920908692026,527424
User1,1564.8679487078698,80571
User1,1564.9879167484312,219620
User1,1565.2338894407114,694186
User1,1565.4551894037193,446873
User1,1565.9385066186585,31236
User1,1566.2337896882618,749261
User1,1567.3088673179072,802020
User1,1567.3680108198953,898033
User1,1567.437424315912,530817
User1,1567.512121175063,621288
User1,1567.5697395705422,636775
User1,1567.8495095911294,98800
User1,1568.2805136792492,356265
User1,1569.5639906353194,453093
User1,1569.6340802239804,699534
User1,1571.0874749147788,910732
User1,1571.250881291214,784867
User1,1571.4802249826002,583946
User1,1571.9341800189775,7669
User1,1572.555826292848,705014
User1,1572.6264668716026,424446
User1,1572.6742450029626,391798
User1,1573.5448294754797,609543
User1,1573.7963478079807,504988
User1,1574.3099610185043,839857
User1,1574.949043842969,51282
User1,1575.3886042968152,724037
User1,1576.2399491701021,715839
User1,1576.984809814483,303191
User1,1577.040181050857,604916
User1,1577.2944248713607,63751
User1,1578.476315528781,891791
User1,1579.7491399319547,75072
User1,1579.962351776218,569734
User1,1580.5705570454747,976914
User1,1581.4118356080185,449567
User1,1581.79445002896,860840
User1,1581.8721779246835,788152
User1,1582.5190436151768,840803
User1,1582.6892879262373,522576
User1,1582.871695805738,668380
User1,1583.44921713241,143416
User1,1583.589812847605,446655
User1,1584.666502610579,787737
User1,1584.7046681505922,319765
User1,1585.126827631804,324523
User1,1586.6427858546201,340049
User1,1587.437466806391,988133
User1,1587.6389203626334,221256
User1,1589.8468775012868,265897
User1,1591.140282266726,648129
User1,1591.5704944681825,31739
User1,1591.7270551309039,758686
User1,1591.8310293074264,586266
User1,1592.360194382792,69970
User1,1592.592746886589,405538
User1,1594.660288722955,785117
User1,1595.3725922874405,527250
User1,1596.034283068869,468138
User1,1596.4385607214947,334058
User1,1598.1500674521164,962106
User1,1598.676525064968,355802
User1,1599.8952995519517,781033
User1,1601.4757179499545,61315
User1,1601.7889045409884,224666
User1,1602.6262949587685,568808
User1,1602.78631964447,417896
User1,1604.361744562373,389883
User1,1605.2060955650163,130742
User1,1605.825810050794,649050
User1,1606.8559609455556,548399
User1,1608.1407379428024,978746
User1,1610.7683475807037,165609
User1,1612.3128903010197,580333
User1,1612.4792603417288,413899
User1,1612.7778079810619,60127
User1,1620.7479189750197,519691
User1,1621.0874901274824,842607
User1,1621.6524200939182,361483
User1,1621.9167673955305,352523
User1,1625.8293062460718,819087
User1,1625.854112203287,906885
User1,1627.2457720156008,892010
User1,1627.5444492553756,836172
User1,1628.778464225575,207622
User1,1631.9796024751547,582268
User1,1632.638451253428,462268
User1,1633.3165355532956,670325
User1,1633.5774780387792,302920
User1,1634.5560483665606,550904
User1,1635.0830040242315,361139
User1,1637.5222785613096,615732
User1,1639.749364476111,535858
User1,1642.4571299361216,746373
User1,1643.403597789508,479860
User1,1643.8635287802524,468593
User1,1645.1528141683223,340677
User1,1645.399575003659,897943
User1,1645.7059029595155,927391
User1,1646.4912537186092,37145
User1,1646.9745018318145,310952
User1,1647.5625174934667,711382
User1,1649.5037764878643,374024
User1,1650.9853086463625,670535
User1,1651.0328904848677,888797
User1,1652.0031947398784,861214
User1,1652.1150521466298,153420
User1,1652.4023188506453,608225
User1,1652.5198297544953,736480
User1,1652.9327041756862,741761
User1,1653.032607351248,669914
User1,1653.5420966752995,240710
User1,1653.6102652182685,528676
User1,1654.0269607657344,288222
User1,1654.2976100009073,397304
User1,1655.688317645469,382774
User1,1656.6205065324407,604748
User1,1658.8415334249055,648182
User1,1658.849754000241,635993
User1,1660.3640437289416,807737
User1,1660.801054488927,346787
User1,1663.5526036802032,912009
User1,1663.6001062391279,644765
User1,1664.1407862674387,246214
User1,1665.6545637890745,751832
User1,1666.1354014182616,789712
User1,1666.9428369267391,275309
User1,1666.955461285757,796842
User1,1667.0899858962355,340066
User1,1667.565726945359,917090
User1,1668.3751952841394,43251
User1,1669.189344884225,474912
User1,1669.2543611632598,1857
User1,1669.2718734540192,19389
User1,1671.321294259174,715958
User1,1671.781463216676,174667
User1,1674.3516216057203,647711
User1,1679.5987292203981,115571
User1,1680.7131682929269,433763
User1,1682.7416370632745,770658
User1,1684.852174912992,729524
User1,1687.5913752480242,806224
User1,1687.5986963576152,2262
User1,1688.5896782342259,724288
User1,1689.6971984644197,989011
User1,1695.6273371355903,720101
User1,1696.2381663029457,458619
User1,1696.491681128319,180852
User1,1700.0047380252538,20019
User1,1700.2395368084326,644809
User1,1700.6208187464451,308054
User1,1701.858848792015,837526
User1,1702.8798248318974,578703
User1,1703.3124340903946,288696
User1,1703.6314008604402,841269
User1,1703.6440621231225,668261
User1,1703.6505767802125,595495
User1,1704.048051579841,304092
User1,1704.8933403522067,417430
User1,1704.9271132528872,673295
User1,1705.316834815414,466987
User1,1705.4099385427785,462441
User1,1706.4054812106638,128478
User1,1707.5744128382833,427301
User1,1708.2732310899328,966613
User1,1708.495239609346,662158
User1,1709.7160938074776,963432
User1,1709.7326815063266,258090
User1,1710.7958531020001,810111
User1,1710.844093955721,930871
User1,1710.8840188723948,95555
User1,1711.0177088432997,548157
User1,1712.2809885097968,300159
User1,1713.8822802072334,147642
User1,1714.1515565619995,964312
User1,1714.5250318852272,946680
User1,1714.549403142595,854755
User1,1716.6169948951558,839812
User1,1718.726099948289,153965
User1,1719.2706213505055,656741
User1,1720.645509201969,822604
User1,1726.034441779197,502231
User1,1727.5118734269925,380977
User1,1730.7127026940962,175114
User1,1730.7343605531344,14574
User1,1731.3901688897984,575036
User1,1731.6137357842813,923704
User1,1731.7879538510444,108596
User1,1731.8692309340709,653530
User1,1732.7280216258664,162092
User1,1733.160929477522,601877
User1,1738.9175355055447,509359
User1,1741.3049421954288,283517
User1,1741.9028027294119,454635
User1,1742.1751256619614,278949
User1,1743.432229452465,714401
User1,1747.9110431372098,33904
User1,1753.6319552111665,224126
User1,1754.4313567618901,120842
User1,1755.3605776989082,689527
User1,1757.8852647901895,938926
User1,1758.0598620032315,71338
User1,1758.9345648401527,523226
User1,1759.5594203949,701870
User1,1759.9637909730614,293370
User1,1761.2772868360728,808984
User1,1761.3998390872475,847073
User1,1761.6691990161569,995795
User1,1762.1756907888762,421224
User1,1762.7196218402237,776447
User1,1763.0591674537848,176463
User1,1764.1151773962733,30584
User1,1764.4283107685342,861769
User1,1764.6522858161377,362726
User1,1765.478831847109,508066
User1,1765.5890563106875,334297
User1,1765.7666651996983,876515
User1,1765.7919297884253,96809
User1,1768.690698288399,643641
User1,1768.9606443072682,469181
User1,1769.1177102684294,540928
User1,1769.2431918138454,887764
User1,1769.86285594714,895363
User1,1770.5364449417877,35887
User1,1770.9544768673275,640985
User1,1776.6160202573687,208606
User1,1777.2818050940468,264276
User1,1778.4289754767588,616055
User1,1778.539711036953,195261
User1,1779.6514297988072,661068
